City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
292,Cockburn Town,TC,78.76,scattered clouds,21.4612,-71.1419,The Salt Raker Inn
298,Pochutla,MX,89.82,clear sky,15.7432,-96.4661,Posada San Jose
300,Pisco,PE,84.25,clear sky,-13.7,-76.2167,La Portada
311,Sinnamary,GF,78.37,overcast clouds,5.3833,-52.95,Hôtel du fleuve
312,San Pedro,PH,72.63,few clouds,14.35,121.0167,Hotel Takara
315,Manokwari,ID,76.91,overcast clouds,-0.8667,134.0833,Hotel Arfak
317,Nouadhibou,MR,75.18,clear sky,20.931,-17.0347,Hotel valencia
320,Vanimo,PG,76.1,light rain,-2.6741,141.3028,CBC Guesthouse
323,Cap Malheureux,MU,76.46,overcast clouds,-19.9842,57.6142,Cape Garden
332,Daru,PG,75.74,broken clouds,-9.0763,143.2092,Kuki
335,Wilmington,US,71.94,clear sky,34.2257,-77.9447,Hell's Kitchen
340,Ambovombe,MG,73.71,light rain,-25.1667,46.0833,La source
352,Boa Vista,BR,85.98,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
362,Tarauaca,BR,81.99,broken clouds,-8.1614,-70.7656,Hotel Estrela
363,Puerto Escondido,MX,85.71,few clouds,15.85,-97.0667,Hotel Barlovento
366,Karonga,MW,74.5,overcast clouds,-9.9333,33.9333,Sumuka Inn
369,Puerto Colombia,CO,84.29,few clouds,10.9878,-74.9547,Hotel Puerto Colombia
370,Binga,ZW,76.26,broken clouds,-17.6203,27.3414,Lake View Inn
375,Port Macquarie,AU,72.9,clear sky,-31.4333,152.9167,The Observatory
378,Gilbues,BR,87.17,scattered clouds,-9.8317,-45.3439,Hotel Camapua
380,Souillac,MU,77.38,light intensity shower rain,-20.5167,57.5167,Hotel SkylineInn
384,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
385,Bowen,AU,77.79,overcast clouds,-20.0167,148.2333,Whitsunday Sands Resort
386,Guanica,PR,82.11,broken clouds,17.9716,-66.908,Copamarina Beach Resort
389,Bubaque,GW,76.95,overcast clouds,11.2833,-15.8333,Chez Julio
392,Atar,MR,82.0,overcast clouds,20.5169,-13.0499,فندق سكليل
